Aprobar,AprobarImp,CodModo,CodMon,CodMot,CodPag,CodSerie,CodSunat,DesCli,DesDoc,DesMon,DesMot,Documento,DsctoSug,Estado,EstadoSunat,FactorSug,Factura,FecDoc,IdCliente,IdGuia,IdLocacion,IdSerieDoc,IdSugerido,NumCot,NumDoc,NumFac,NumJob,NumOrden,ObservacionSunat,TieneNotas,TipMov,TotNeto,TotNetoSug
False,False,02,US,9,,T001,09,LC TURBO S.A.C.,Guia de Remisión,DOLARES USA         ,Otros,T001-2267,,IM,ACEPTADO,,False,2025-07-22T00:00:00,57229,155989,72,296,0,,2267,,2052/25,,"El Comprobante numero T001-2267, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2268,,IM,ACEPTADO,,False,2025-07-22T00:00:00,56918,155991,72,296,0,,2268,,,,"El Comprobante numero T001-2268, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,04,T001,09,COSMOS GLOBAL LOGISTICS SAC,Guia de Remisión,DOLARES USA         ,Venta,T001-2269,,FC,ACEPTADO,,True,2025-07-22T00:00:00,56985,155992,72,296,0,,2269,F/ F001-1534,,122956,"El Comprobante numero T001-2269, ha sido aceptado",False,D,1738.14,0.0
True,True,02,US,1,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Venta,T001-2270,,IM,ACEPTADO,,True,2025-07-24T00:00:00,56918,155994,72,296,0,,2270,,,,"El Comprobante numero T001-2270, ha sido aceptado",True,D,0.0,0.0
True,True,02,US,1,03,T001,09,WHIND S.A.C.,Guia de Remisión,DOLARES USA         ,Venta,T001-2271,,FC,ACEPTADO,,True,2025-07-24T00:00:00,57295,155995,72,296,0,1745,2271,F/ F001-1537,,242,"El Comprobante numero T001-2271, ha sido aceptado",True,D,1566.71,0.0
True,True,02,US,1,00,T001,09,LOS CARLOS S R L,Guia de Remisión,DOLARES USA         ,Venta,T001-2272,,FC,ACEPTADO,,True,2025-07-24T00:00:00,57444,155996,72,296,0,1747,2272,F/ F001-1535,,OC COT.1747-2025,"El Comprobante numero T001-2272, ha sido aceptado",True,D,8239.26,0.0
False,False,02,US,9,,T001,09,EQUIPOS Y MAQUINARIA PESADA DIESEL SAC,Guia de Remisión,DOLARES USA         ,Otros,T001-2273,,IM,ACEPTADO,,False,2025-07-24T00:00:00,56856,155998,72,296,0,,2273,,,,"El Comprobante numero T001-2273, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,23,T001,09,PALMAS DEL SHANUSI S.A,Guia de Remisión,DOLARES USA         ,Venta,T001-2274,,FC,ACEPTADO,,True,2025-07-25T00:00:00,57884,155999,72,296,0,1748,2274,F/ F001-1566,,4511589040,"El Comprobante numero T001-2274, ha sido aceptado",True,D,410.29,0.0
True,True,02,US,1,04,T001,09,TECNOLOGICA DE ALIMENTOS S.A.,Guia de Remisión,DOLARES USA         ,Venta,T001-2275,,FC,ACEPTADO,,True,2025-07-25T00:00:00,56972,156000,72,296,0,1777,2275,F/ F001-1548,,5010230290,"El Comprobante numero T001-2275, ha sido aceptado",False,D,430.32,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2276,,IM,ACEPTADO,,False,2025-07-27T00:00:00,56971,156003,72,296,0,,2276,,,,"El Comprobante numero T001-2276, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA HAYDUK S.A.,Guia de Remisión,DOLARES USA         ,Otros,T001-2277,,IM,ACEPTADO,,False,2025-07-27T00:00:00,56971,156004,72,296,0,,2277,,2052/25,,"El Comprobante numero T001-2277, ha sido aceptado",True,O,0.0,0.0
False,False,02,US,9,,T001,09,PESQUERA NIROCI SOCIEDAD ANONIMA CERRADA,Guia de Remisión,DOLARES USA         ,Otros,T001-2278,,AN,ACEPTADO,,False,2025-07-28T00:00:00,56918,156005,72,296,0,,2278,,0020/24,,"El Comprobante numero T001-2278, ha sido aceptado",True,O,0.0,0.0
True,True,02,US,1,00,T001,09,S & A MAQUINARIAS Y SERVICIOS GENERALES S.R.L.,Guia de Remisión,DOLARES USA         ,Venta,T001-2279,,FC,ACEPTADO,,True,2025-07-30T00:00:00,57534,156007,72,296,0,1778,2279,F/ F001-1541,,COT. 1778-2025 BAT,"El Comprobante numero T001-2279, ha sido aceptado",True,D,680.86,0.0
